Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
1039000,2016-02-17,Lansvale,3,5,2,569,House,2570,25376,2.0,150.9,23.35,2750.0,725000.0,850000.0,17.24,480.0,725000.0,500.0,4.0,15.3,90.0,45.0
977000,2016-02-17,Petersham,1,2,0,170,House,8116,52884,2.0,150.9,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
320000,2016-02-17,Rosemeadow,0,0,0,592,Land,7862,32864,2.0,150.9,46.98,8000.0,550000.0,690000.0,25.45,400.0,440000.0,330.0,11.0,12.7,105.0,60.0
2300000,2016-02-18,Ultimo,2,4,0,134,House,8845,20072,2.0,150.9,1.9,9250.0,1350000.0,1700000.0,25.93,750.0,665000.0,605.0,5.0,13.0,15.0,8.0
1500000,2016-02-18,Leichhardt,2,4,0,177,House,14625,56784,2.0,150.9,5.31,15000.0,1450000.0,1800000.0,24.14,770.0,875000.0,560.0,3.0,12.2,25.0,15.0
1400000,2016-02-19,Croydon,2,3,3,394,House,10612,34996,2.0,150.9,8.77,11000.0,1400000.0,1800000.0,28.57,690.0,710000.0,480.0,3.0,17.0,22.0,20.0
1265000,2016-02-19,Leichhardt,1,3,0,220,House,14625,56784,2.0,150.9,5.31,15000.0,1450000.0,1800000.0,24.14,770.0,875000.0,560.0,3.0,12.2,25.0,15.0
1720000,2016-02-20,Concord,1,4,2,512,House,14533,39052,2.0,150.9,9.6,15000.0,1800000.0,2200000.0,22.22,750.0,995000.0,500.0,3.0,13.5,40.0,30.0
1340000,2016-02-20,Burwood,1,2,2,273,House,16030,24856,2.0,150.9,9.9,16500.0,1900000.0,2150000.0,13.16,700.0,790000.0,580.0,3.0,14.2,15.0,25.0
1300000,2016-02-20,Avalon Beach,3,4,2,696,House,9905,43628,2.0,150.9,28.35,10000.0,1900000.0,2250000.0,18.42,850.0,790000.0,550.0,0.0,8.6,95.0,55.0
1180000,2016-02-20,Eastlakes,2,3,3,335,House,6912,25740,2.0,150.9,7.32,7250.0,1450000.0,1650000.0,13.79,750.0,590000.0,475.0,20.0,11.4,30.0,20.0
1110000,2016-02-20,Picnic Point,1,3,1,620,House,6160,40560,2.0,150.9,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
875000,2016-02-20,Panania,2,3,1,556,House,12419,34216,2.0,150.9,22.21,12500.0,950000.0,1100000.0,15.79,630.0,750000.0,450.0,11.0,12.0,30.0,40.0
865000,2016-02-20,Panania,1,3,2,556,House,12419,34216,2.0,150.9,22.21,12500.0,950000.0,1100000.0,15.79,630.0,750000.0,450.0,11.0,12.0,30.0,40.0
862000,2016-02-22,Panania,2,4,2,355,House,12419,34216,2.0,150.9,22.21,12500.0,950000.0,1100000.0,15.79,630.0,750000.0,450.0,11.0,12.0,30.0,40.0
595000,2016-02-22,Avalon Beach,1,1,1,140,Apartment,9905,43628,2.0,150.9,28.35,10000.0,1900000.0,2250000.0,18.42,850.0,790000.0,550.0,0.0,8.6,95.0,55.0
2100000,2016-02-25,Drummoyne,1,4,1,417,House,11950,60840,2.0,150.9,5.35,12500.0,1950000.0,2350000.0,20.51,830.0,1050000.0,610.0,1.0,14.9,15.0,12.0
1985000,2016-02-25,Millers Point,1,3,0,112,House,1482,79300,2.0,150.9,0.8,1500.0,2800000.0,3100000.0,10.71,1250.0,2100000.0,950.0,0.0,13.0,10.0,10.0
1780000,2016-02-25,Millers Point,1,3,0,111,House,1482,79300,2.0,150.9,0.8,1500.0,2800000.0,3100000.0,10.71,1250.0,2100000.0,950.0,0.0,13.0,10.0,10.0
1415000,2016-02-25,Russell Lea,1,2,0,272,House,5001,47684,2.0,150.9,6.33,5250.0,1850000.0,2400000.0,29.73,880.0,810000.0,530.0,5.0,15.7,30.0,15.0
